[default]

// Custom actors for Lexicon Deathmatch mapsets
// Addictive Deathmatch Series
DW10_MAPSET_DATE = "1996";
DW10_MAPSET_MAPS = "27";
DW10_MAPSET_TITLE = "DWANGO10";

// DWANGO11
DW11_ACTOR_1 = "Lexicon_DW11_GibbedMarine";
DW11_ACTOR_2 = "Lexicon_DW11_DeadMarine";
DW11_MAPSET_AUTHORS = "DWANGO Team";
DW11_MAPSET_CUSTOM = "Y";
DW11_MAPSET_DATE = "1997";
DW11_MAPSET_MAPS = "32";
DW11_MAPSET_TITLE = "DWANGO11";

// DWANGO12
DW12_MAPSET_AUTHORS = "DWANGO Team";
DW12_MAPSET_CUSTOM = "Y";
DW12_MAPSET_DATE = "1997";
DW12_MAPSET_MAPS = "28";
DW12_MAPSET_TITLE = "DWANGO12";

// DWANGOX
DW0X_MAPSET_AUTHORS = "DWANGO Team";
DW0X_MAPSET_CUSTOM = "Y";
DW0X_MAPSET_DATE = "1995";
DW0X_MAPSET_MAPS = "15";
DW0X_MAPSET_TITLE = "DWANGOX";

// DWANGO!
DWEX_MAPSET_AUTHORS = "DWANGO Team";
DWEX_MAPSET_CUSTOM = "N";
DWEX_MAPSET_DATE = "Unknown";
DWEX_MAPSET_MAPS = "15";
DWEX_MAPSET_TITLE = "#1DWANGO";

// DANZIG1
DZG1_MAPSET_AUTHORS = "B. Vannatta and B. Weldon";
DZG1_MAPSET_CUSTOM = "N";
DZG1_MAPSET_DATE = "1995";
DZG1_MAPSET_MAPS = "7";
DZG1_MAPSET_TITLE = "DANZIG1";
DZG1_MAPFLAG_STARTINGMAP = "DZG111";

// DANZIG2
DZG2_MAPSET_AUTHORS = "B. Vannatta and B. Weldon";
DZG2_MAPSET_CUSTOM = "N";
DZG2_MAPSET_DATE = "1995";
DZG2_MAPSET_MAPS = "5";
DZG2_MAPSET_TITLE = "DANZIG2";
DZG2_MAPFLAG_STARTINGMAP = "DZG216";

// IPXMATCH
IPXM_MAPSET_AUTHORS = "Jeannot Langlois (NUMBeRsiX)";
IPXM_MAPSET_CUSTOM = "N";
IPXM_MAPSET_DATE = "1998";
IPXM_MAPSET_MAPS = "32";
IPXM_MAPSET_TITLE = "IPXMATCH";

// Eternal Deathmatch Set
EDMS_MAPSET_AUTHORS = "Chris Couleur, Adam Landefeld, Lisa Moore";
EDMS_MAPSET_CUSTOM = "N";
EDMS_MAPSET_DATE = "1998";
EDMS_MAPSET_MAPS = "19";
EDMS_MAPSET_TITLE = "Eternal Deathmatch Set";

// The Final Frag
FNFG_MAPSET_AUTHORS = "Ian McPherson (FraGMarE)";
FNFG_MAPSET_CUSTOM = "N";
FNFG_MAPSET_DATE = "1997";
FNFG_MAPSET_MAPS = "32";
FNFG_MAPSET_TITLE = "The Final Frag";

// Gothic DeathMatches
GTH1_MAPSET_AUTHORS = "Gothic Crew";
GTH1_MAPSET_CUSTOM = "N";
GTH1_MAPSET_DATE = "1997";
GTH1_MAPSET_MAPS = "32";
GTH1_MAPSET_TITLE = "Gothic DeathMatches";

// Gothic DeathMatch II
GTH2_MAPSET_AUTHORS = "Gothic Crew";
GTH2_MAPSET_CUSTOM = "N";
GTH2_MAPSET_DATE = "1998";
GTH2_MAPSET_MAPS = "32";
GTH2_MAPSET_TITLE = "Gothic DeathMatch II";

// Green War
GWAR_MAPSET_AUTHORS = "Jason Root (Hellbent/Grotug/Jacobi)";
GWAR_MAPSET_CUSTOM = "N";
GWAR_MAPSET_DATE = "2002";
GWAR_MAPSET_MAPS = "32";
GWAR_MAPSET_TITLE = "Green War";

// Grievance
GRVE_MAPSET_AUTHORS = "TeamTNT";
GRVE_MAPSET_CUSTOM = "N";
GRVE_MAPSET_DATE = "1996";
GRVE_MAPSET_MAPS = "32";
GRVE_MAPSET_TITLE = "Grievance";

// Overload Deathmatches
OVLD_MAPSET_AUTHORS = "Ola Bjorling, Tobias Forsberg, Nicklas Linnes, Martin Friberg";
OVLD_MAPSET_CUSTOM = "N";
OVLD_MAPSET_DATE = "1998";
OVLD_MAPSET_MAPS = "16";
OVLD_MAPSET_TITLE = "Overload Deathmatches";

// Pyrrhic XL
PRHC_MAPSET_AUTHORS = "hobomaster22";
PRHC_MAPSET_CUSTOM = "N";
PRHC_MAPSET_DATE = "2019";
PRHC_MAPSET_MAPS = "32";
PRHC_MAPSET_TITLE = "Pyrrhic XL";

// Surge DM
SURG_MAPSET_AUTHORS = "Surge DM Team";
SURG_MAPSET_CUSTOM = "N";
SURG_MAPSET_DATE = "1998";
SURG_MAPSET_MAPS = "32";
SURG_MAPSET_TITLE = "Surge DM";

// TokeDM
TKDM_MAPSET_AUTHORS = "Dylan McIntosh (Toke)";
TKDM_MAPSET_CUSTOM = "N";
TKDM_MAPSET_DATE = "2005";
TKDM_MAPSET_MAPS = "9";
TKDM_MAPSET_TITLE = "TokeDM";

// WANG
WANG_MAPSET_AUTHORS = "Argent Agent, Decay, HeavenWraith, Razgriz, Synami";
WANG_MAPSET_CUSTOM = "N";
WANG_MAPSET_DATE = "2024";
WANG_MAPSET_MAPS = "32";
WANG_MAPSET_TITLE = "WANG";
